Cod_ibge;Mun;Município_base;Regional;Lat;Long;Unidade_Nome;Unidade
3500105;ADAMANTINA;Adamantina;Regional Dracena;-51,180608;-21,710163;IDA ADAMANTINA;IDA
3504107;ATIBAIA;Atibaia;Regional Bragança Paulista;-46,571246;-23,133402;IDA ATIBAIA;IDA
3504909;BANANAL;Bananal;Regional Guaratinguetá;-44,330912;-22,763651;IDA BANANAL;IDA
3505807;BASTOS;Bastos;Regional Tupã;-50,771543;-21,951551;IDA BASTOS;IDA
3505906;BATATAIS;Batatais;Regional Franca;-47,596353;-20,863177;IDA BATATAIS;IDA
3506102;BEBEDOURO;Bebedouro;Regional Barretos;-48,522526;-20,934;IDA BEBEDOURO;IDA
3507902;BROTAS;Brotas;Regional Jaú;-48,108428;-22,288738;IDA BROTAS;IDA
3508108;BURITAMA;Buritama;Regional General Salgado;-50,201893;-21,055171;IDA BURITAMA;IDA
3509403;CAJURU;Cajuru;Regional Ribeirão Preto;-47,332595;-21,279782;IDA CAJURU;IDA
3510708;CARDOSO;Cardoso;Regional Votuporanga;-49,958564;-20,061094;IDA CARDOSO;IDA
3510807;CASA BRANCA;Casa Branca;Regional São João da Boa Vista;-47,099457;-21,787016;IDA CASA BRANCA;IDA
3516705;GARÇA;Garça;Regional Marília;-49,695074;-22,229476;IDA GARÇA;IDA
3518008;GUARANI D'OESTE;Guarani D´Oeste;Regional Fernandópolis;-50,348074;-20,065111;IDA GUARANI D'OESTE;IDA
3518206;GUARARAPES;Guararapes;Regional Araçatuba;-50,627916;-21,285151;IDA GUARARAPES;IDA
3518305;GUARAREMA;Guararema;Regional Mogi das Cruzes;-46,058276;-23,441373;IDA GUARAREMA;IDA
3520103;IGARAPAVA;Igarapava;Regional Orlândia;-47,694763;-20,068266;IDA IGARAPAVA;IDA
3520301;IGUAPE;Iguape;Regional Registro;-47,463553;-24,609921;IDA IGUAPE;IDA
3523206;ITARARÉ;Itararé;Regional Itapeva;-49,318776;-24,118538;IDA ITARARÉ;IDA
3523909;ITU;Itu;Regional Sorocaba;-47,273179;-23,288788;IDA ITU;IDA
3524709;JAGUARIÚNA;Jaguariúna;Regional Mogi Mirim;-47,021334;-22,689771;IDA JAGUARIÚNA;IDA
3525904;JUNDIAÍ;Jundiaí;Regional Campinas;-46,914069;-23,205025;IDA JUNDIAÍ;IDA
